,Term,NumPostings
11,R,11.2667091025
18,Python,8.97517504774
2,Java,8.62507956715
7,Hadoop,8.56142584341
14,Tableau,8.27498408657
20,SQL,7.92488860598
9,Perl,5.44239338001
3,NoSQL,5.21960534691
29,Cassandra,5.1241247613
19,MongoDB,5.1241247613
24,SAS,3.3418204965
25,Spark,3.15085932527
4,Scala,3.08720560153
15,Hive,3.05537873966
12,Matlab,3.05537873966
26,Pig,2.92807129217
0,D3.js,2.83259070656
5,JavaScript,1.90961171229
6,Excel,0.986632718014
8,C++,0.477402928071
22,SPSS,0.190961171229
27,Ruby,0.190961171229
10,Mahout,0.0636537237428
28,D3,0.0636537237428
13,HBase,0.0318268618714
1,ZooKeeper,0.0318268618714
21,MapReduce,0.0318268618714
23,Oozie,0.0318268618714
16,Flume,0.0
17,Shark,0.0
