,Term,NumPostings
18,Python,17.6470588235
20,SQL,11.7647058824
6,Excel,11.7647058824
7,Hadoop,11.7647058824
11,R,11.7647058824
15,Hive,5.88235294118
22,SPSS,5.88235294118
2,Java,5.88235294118
5,JavaScript,5.88235294118
25,Spark,5.88235294118
24,SAS,5.88235294118
21,MapReduce,0.0
26,Pig,0.0
23,Oozie,0.0
27,Ruby,0.0
28,D3,0.0
19,MongoDB,0.0
0,D3.js,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
12,Matlab,0.0
10,Mahout,0.0
9,Perl,0.0
8,C++,0.0
4,Scala,0.0
3,NoSQL,0.0
29,Cassandra,0.0
