,Term,NumPostings
11,R,17.0731707317
18,Python,12.1951219512
24,SAS,9.75609756098
2,Java,7.31707317073
20,SQL,7.31707317073
6,Excel,7.31707317073
12,Matlab,7.31707317073
15,Hive,4.87804878049
21,MapReduce,4.87804878049
22,SPSS,4.87804878049
25,Spark,4.87804878049
26,Pig,4.87804878049
7,Hadoop,4.87804878049
5,JavaScript,2.43902439024
23,Oozie,0.0
27,Ruby,0.0
28,D3,0.0
19,MongoDB,0.0
0,D3.js,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
10,Mahout,0.0
9,Perl,0.0
8,C++,0.0
4,Scala,0.0
3,NoSQL,0.0
29,Cassandra,0.0
