,Term,NumPostings
18,Python,13.5593220339
20,SQL,11.8644067797
11,R,10.1694915254
24,SAS,8.47457627119
6,Excel,8.47457627119
7,Hadoop,8.47457627119
25,Spark,6.77966101695
15,Hive,5.08474576271
2,Java,3.38983050847
26,Pig,3.38983050847
22,SPSS,3.38983050847
21,MapReduce,3.38983050847
12,Matlab,3.38983050847
19,MongoDB,1.69491525424
29,Cassandra,1.69491525424
14,Tableau,1.69491525424
9,Perl,1.69491525424
8,C++,1.69491525424
3,NoSQL,1.69491525424
1,ZooKeeper,0.0
16,Flume,0.0
17,Shark,0.0
13,HBase,0.0
10,Mahout,0.0
23,Oozie,0.0
5,JavaScript,0.0
4,Scala,0.0
27,Ruby,0.0
28,D3,0.0
0,D3.js,0.0
