,Term,NumPostings
11,R,16.6666666667
24,SAS,16.6666666667
18,Python,12.5
8,C++,8.33333333333
2,Java,8.33333333333
20,SQL,8.33333333333
14,Tableau,8.33333333333
12,Matlab,8.33333333333
9,Perl,4.16666666667
25,Spark,4.16666666667
6,Excel,4.16666666667
19,MongoDB,0.0
26,Pig,0.0
23,Oozie,0.0
27,Ruby,0.0
22,SPSS,0.0
21,MapReduce,0.0
28,D3,0.0
0,D3.js,0.0
15,Hive,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
13,HBase,0.0
10,Mahout,0.0
7,Hadoop,0.0
5,JavaScript,0.0
4,Scala,0.0
3,NoSQL,0.0
29,Cassandra,0.0
