,Term,NumPostings
7,Hadoop,15.2309612984
20,SQL,15.2309612984
14,Tableau,15.2309612984
15,Hive,7.74032459426
26,Pig,7.74032459426
24,SAS,7.74032459426
21,MapReduce,7.61548064919
17,Shark,7.61548064919
25,Spark,7.61548064919
3,NoSQL,7.61548064919
18,Python,0.249687890137
11,R,0.249687890137
12,Matlab,0.124843945069
22,SPSS,0.0
27,Ruby,0.0
28,D3,0.0
19,MongoDB,0.0
23,Oozie,0.0
0,D3.js,0.0
16,Flume,0.0
1,ZooKeeper,0.0
13,HBase,0.0
10,Mahout,0.0
9,Perl,0.0
8,C++,0.0
6,Excel,0.0
5,JavaScript,0.0
4,Scala,0.0
2,Java,0.0
29,Cassandra,0.0
