,Term,NumPostings
11,R,26.9230769231
18,Python,11.5384615385
24,SAS,11.5384615385
20,SQL,11.5384615385
2,Java,7.69230769231
12,Matlab,7.69230769231
8,C++,3.84615384615
15,Hive,3.84615384615
7,Hadoop,3.84615384615
6,Excel,3.84615384615
5,JavaScript,3.84615384615
3,NoSQL,3.84615384615
26,Pig,0.0
28,D3,0.0
25,Spark,0.0
23,Oozie,0.0
22,SPSS,0.0
21,MapReduce,0.0
27,Ruby,0.0
0,D3.js,0.0
19,MongoDB,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
10,Mahout,0.0
9,Perl,0.0
4,Scala,0.0
29,Cassandra,0.0
