,Term,NumPostings
25,Spark,11.1111111111
18,Python,11.1111111111
5,JavaScript,11.1111111111
11,R,11.1111111111
21,MapReduce,5.55555555556
19,MongoDB,5.55555555556
14,Tableau,5.55555555556
13,HBase,5.55555555556
12,Matlab,5.55555555556
20,SQL,5.55555555556
8,C++,5.55555555556
7,Hadoop,5.55555555556
6,Excel,5.55555555556
2,Java,5.55555555556
26,Pig,0.0
27,Ruby,0.0
24,SAS,0.0
23,Oozie,0.0
22,SPSS,0.0
28,D3,0.0
0,D3.js,0.0
15,Hive,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
10,Mahout,0.0
9,Perl,0.0
4,Scala,0.0
3,NoSQL,0.0
29,Cassandra,0.0
