,Term,NumPostings
6,Excel,17.8571428571
2,Java,8.92857142857
24,SAS,8.92857142857
5,JavaScript,7.14285714286
20,SQL,7.14285714286
18,Python,7.14285714286
11,R,7.14285714286
15,Hive,5.35714285714
25,Spark,5.35714285714
4,Scala,5.35714285714
7,Hadoop,5.35714285714
14,Tableau,3.57142857143
0,D3.js,3.57142857143
13,HBase,1.78571428571
3,NoSQL,1.78571428571
19,MongoDB,1.78571428571
8,C++,1.78571428571
22,SPSS,0.0
28,D3,0.0
27,Ruby,0.0
26,Pig,0.0
23,Oozie,0.0
21,MapReduce,0.0
12,Matlab,0.0
9,Perl,0.0
10,Mahout,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
29,Cassandra,0.0
