,Term,NumPostings
11,R,26.3440860215
18,Python,23.6559139785
20,SQL,19.8924731183
7,Hadoop,4.83870967742
24,SAS,4.30107526882
2,Java,3.76344086022
6,Excel,2.68817204301
8,C++,2.68817204301
25,Spark,2.15053763441
12,Matlab,1.61290322581
3,NoSQL,1.61290322581
22,SPSS,1.61290322581
15,Hive,1.0752688172
21,MapReduce,1.0752688172
27,Ruby,0.537634408602
9,Perl,0.537634408602
28,D3,0.537634408602
4,Scala,0.537634408602
10,Mahout,0.537634408602
26,Pig,0.0
23,Oozie,0.0
0,D3.js,0.0
19,MongoDB,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
5,JavaScript,0.0
29,Cassandra,0.0
