,Term,NumPostings
20,SQL,16.2790697674
11,R,16.2790697674
18,Python,11.6279069767
21,MapReduce,9.3023255814
7,Hadoop,9.3023255814
6,Excel,6.97674418605
24,SAS,6.97674418605
15,Hive,4.6511627907
22,SPSS,4.6511627907
2,Java,4.6511627907
26,Pig,4.6511627907
5,JavaScript,2.32558139535
12,Matlab,2.32558139535
25,Spark,0.0
23,Oozie,0.0
27,Ruby,0.0
28,D3,0.0
19,MongoDB,0.0
0,D3.js,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
10,Mahout,0.0
9,Perl,0.0
8,C++,0.0
4,Scala,0.0
3,NoSQL,0.0
29,Cassandra,0.0
