,Term,NumPostings
11,R,27.027027027
6,Excel,16.2162162162
24,SAS,16.2162162162
20,SQL,10.8108108108
5,JavaScript,8.10810810811
18,Python,5.40540540541
12,Matlab,5.40540540541
25,Spark,2.7027027027
2,Java,2.7027027027
7,Hadoop,2.7027027027
22,SPSS,2.7027027027
23,Oozie,0.0
21,MapReduce,0.0
0,D3.js,0.0
26,Pig,0.0
27,Ruby,0.0
28,D3,0.0
19,MongoDB,0.0
15,Hive,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
10,Mahout,0.0
9,Perl,0.0
8,C++,0.0
4,Scala,0.0
3,NoSQL,0.0
29,Cassandra,0.0
