,Term,NumPostings
11,R,15.3846153846
15,Hive,7.69230769231
2,Java,7.69230769231
4,Scala,7.69230769231
6,Excel,7.69230769231
7,Hadoop,7.69230769231
25,Spark,7.69230769231
26,Pig,7.69230769231
21,MapReduce,3.84615384615
24,SAS,3.84615384615
18,Python,3.84615384615
27,Ruby,3.84615384615
20,SQL,3.84615384615
8,C++,3.84615384615
5,JavaScript,3.84615384615
3,NoSQL,3.84615384615
23,Oozie,0.0
22,SPSS,0.0
28,D3,0.0
0,D3.js,0.0
19,MongoDB,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
12,Matlab,0.0
10,Mahout,0.0
9,Perl,0.0
29,Cassandra,0.0
