,Term,NumPostings
11,R,22.2222222222
5,JavaScript,13.8888888889
18,Python,11.1111111111
6,Excel,11.1111111111
20,SQL,5.55555555556
22,SPSS,5.55555555556
3,NoSQL,5.55555555556
24,SAS,5.55555555556
14,Tableau,2.77777777778
12,Matlab,2.77777777778
10,Mahout,2.77777777778
9,Perl,2.77777777778
8,C++,2.77777777778
7,Hadoop,2.77777777778
27,Ruby,2.77777777778
21,MapReduce,0.0
26,Pig,0.0
25,Spark,0.0
23,Oozie,0.0
28,D3,0.0
0,D3.js,0.0
15,Hive,0.0
19,MongoDB,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
13,HBase,0.0
4,Scala,0.0
2,Java,0.0
29,Cassandra,0.0
