,Term,NumPostings
20,SQL,13.2075471698
11,R,13.2075471698
24,SAS,11.320754717
18,Python,11.320754717
6,Excel,11.320754717
2,Java,7.54716981132
7,Hadoop,5.66037735849
12,Matlab,5.66037735849
3,NoSQL,3.77358490566
22,SPSS,3.77358490566
8,C++,3.77358490566
9,Perl,3.77358490566
27,Ruby,1.88679245283
21,MapReduce,1.88679245283
5,JavaScript,1.88679245283
25,Spark,0.0
26,Pig,0.0
23,Oozie,0.0
28,D3,0.0
0,D3.js,0.0
15,Hive,0.0
19,MongoDB,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
10,Mahout,0.0
4,Scala,0.0
29,Cassandra,0.0
