,Term,NumPostings
9,R,12.6394953906
5,Hadoop,10.4075691412
16,Python,9.58272683164
8,Tableau,9.50994662785
1,Java,7.81174187288
21,SAS,5.6768558952
22,Spark,4.46385249879
7,Perl,4.43959243086
13,Hive,4.31829209122
17,MongoDB,4.02717127608
23,Pig,3.97865114022
26,Cassandra,3.93013100437
10,Matlab,3.08102862688
4,Excel,3.0082484231
2,Scala,2.59582726832
3,JavaScript,2.52304706453
12,D3.js,2.23192624939
18,MapReduce,1.86802523047
15,Shark,1.47986414362
6,C++,1.16448326055
19,SPSS,0.679281901989
24,Ruby,0.339640950995
11,HBase,0.0970402717128
25,D3,0.0970402717128
20,Oozie,0.0242600679282
0,ZooKeeper,0.0242600679282
14,Flume,0.0
